scenario,base_recheck,historical_base,lora_v1,lora_v2,historical_base_minus_base_recheck,lora_v1_minus_base_recheck,lora_v2_minus_base_recheck,historical_base_relative_to_base_recheck,lora_v1_relative_to_base_recheck,lora_v2_relative_to_base_recheck
ALL,0.550313,0.483925,0.543215,0.54572,-0.066388,-0.007098,-0.004593,-0.120637,-0.012898,-0.008346
clean,0.008351,0.010438,0.008351,0.008351,0.002087,0.0,0.0,0.24991,0.0,0.0
noise,0.450939,0.336117,0.419624,0.438413,-0.114822,-0.031315,-0.012526,-0.254629,-0.069444,-0.027778
reverb,0.544885,0.415449,0.521921,0.532359,-0.129436,-0.022964,-0.012526,-0.237547,-0.042145,-0.022988
dropout,0.762004,0.759916,0.770355,0.764092,-0.002088,0.008351,0.002088,-0.00274,0.010959,0.00274
far_field,0.985386,0.897704,0.995825,0.985386,-0.087682,0.010439,0.0,-0.088982,0.010594,0.0
